A1,A6,A15,A18,A25,A27,A28,A36,A47,A49,A53,A54,A62,A65,A71,A73,A76,A77,A79,A84,A88,A95,label
2.6311507,0.38600388,0.806315,0.36023208,2.6003385,1.4172684,0.99985874,0.2763026,0.3872164,2.5958529,0.48758805,0.34989288,3.463251,0.63021815,0.46718726,2.5359566,0.96288335,0.5842376,2.5665364,0.35151362,1.0106434,0.38186437,MDD
2.671581,0.3644934,1.3276998,0.34361577,2.5834205,1.2235544,1.0260696,0.31596288,0.49760592,2.5671947,0.55584985,0.3404588,3.3604481,0.54446554,0.65328836,2.6291723,0.9763693,0.56732875,2.6551547,0.3393394,1.0245498,0.7583342,MDD
2.6483006,0.3000642,1.8719829,0.36982065,2.566095,1.4995958,0.98087555,0.3018079,0.44139078,2.638635,0.6126424,0.28685302,3.6619158,0.5890129,0.7738821,2.6292753,0.99379504,0.5104636,2.612446,0.38381654,1.0050572,0.7420962,MDD
2.624291,0.3437564,1.0425982,0.30215594,2.6077764,1.2402246,0.8488316,0.30236107,0.42572474,2.5336397,0.39344177,0.2259732,3.2266736,0.5486282,0.48092774,2.608243,0.95845085,0.4659047,2.5682523,0.36826804,1.0239193,0.44179404,MDD
2.6529558,0.34578615,1.0202298,0.33788598,2.6071353,1.6173462,0.9950774,0.33100483,0.5061595,2.640779,0.72737944,0.30091035,3.63171,0.58256465,0.67124057,2.6156425,1.0196638,0.5581271,2.6122184,0.41713172,1.0312669,0.5725135,MDD
2.6056087,0.33416575,0.31548235,0.339256,2.685971,1.1488428,1.0079392,0.3750025,0.5398093,2.6220653,0.5345811,0.22551164,3.130084,0.6425868,0.59471625,2.6519394,1.0124266,0.6071254,2.6816506,0.3514333,1.0271235,0.53336847,MDD
2.6894312,0.12920022,-0.015512758,0.380701,2.6956804,-0.84234047,1.0182056,0.2723921,0.48488703,2.6926568,0.5008048,0.48173574,2.0173337,0.21096836,0.46611822,2.698198,1.0558769,0.1566706,2.6616435,0.21928596,1.0287392,0.2965533,MDD
2.669652,0.18584256,-0.11077044,0.34277356,2.6415198,0.12278758,1.0124911,0.28471822,0.52816176,2.6716862,0.66946346,0.450591,3.4799786,0.64086086,0.51696914,2.675113,1.0138308,0.57918906,2.605419,0.39693904,1.0415882,0.61853737,MDD
2.6321926,0.43969843,1.2470071,0.409582,2.6000752,1.0043205,0.94434744,0.3187686,0.6380705,2.6437309,0.63534594,0.44783503,3.9360166,0.3769837,0.56738275,2.6463864,1.0115457,0.6061001,2.626413,0.24986343,1.0367775,0.6445962,MDD
2.6738448,0.19094142,0.22982503,0.32974932,2.6522985,0.82238144,0.99075854,0.3758158,0.61526585,2.6587853,0.5502346,0.62113804,3.8163667,0.4494197,0.40499765,2.6237442,1.0112756,0.41102415,2.671389,0.40932015,1.0491321,0.6583973,MDD
2.6756077,0.22084153,0.2589739,0.37191787,2.631543,0.6510705,0.97447425,0.35385215,0.5425193,2.6542845,0.6665185,0.4079781,3.4310288,0.57064897,0.30552155,2.6065829,1.0379286,0.70681286,2.671792,0.40130907,1.0335741,0.5825795,MDD
2.678291,0.20782748,0.19878054,0.29933378,2.5404632,0.03705253,0.9442225,0.31958655,0.58086026,2.5265808,0.39784992,0.49513143,3.853024,0.52213013,0.6241307,2.6538134,0.9873241,0.54963535,2.635559,0.28963888,1.0359823,0.5062996,MDD
2.681797,0.29958865,0.98170316,0.47257125,2.6517217,0.6782681,1.0063157,0.4059231,0.4191468,2.638862,0.69284993,0.58069444,3.6159039,0.6361435,0.3159276,2.606148,1.044011,0.38954276,2.69322,0.33216342,1.0469,0.5835301,MDD
2.6688771,0.16076325,0.6150036,0.2865679,2.5879247,1.391347,0.9103829,0.20697117,0.32028913,2.5504446,0.30963624,0.40408865,3.4913125,0.4881066,0.4166526,2.594967,0.8781688,0.3175171,2.650777,0.27354765,1.0035298,0.6110307,MDD
2.668422,0.23077546,1.1572964,0.27719542,2.5643754,1.5821648,0.87972444,0.23733751,0.4481029,2.602099,0.4394145,0.3610122,2.915133,0.33047798,0.40556395,2.5786989,0.9106057,0.48524007,2.5224333,0.3445009,1.0265946,0.4800431,MDD
2.4904032,0.32526967,0.5730932,0.34473905,2.5883532,1.134038,0.8322101,0.25071713,0.5204278,2.6075974,0.44012207,0.47088006,3.2336562,0.54703856,0.60465956,2.628489,0.93917835,0.4033509,2.5565932,0.27928075,0.9722155,0.5820882,MDD
2.626587,0.3905639,1.1260563,0.50042385,2.66858,0.17679743,1.0006915,0.32566652,0.5755358,2.595416,0.508972,0.5577162,3.8404346,0.4972565,0.48153406,2.5959845,1.0271392,0.6317036,2.6720817,0.34815526,1.0546204,0.6628661,MDD
2.6682289,0.23133746,0.33813727,0.34986478,2.6466572,0.49274153,0.95266396,0.26332405,0.6054634,2.6269536,0.64220464,0.45910695,3.2336607,0.6192505,0.6840413,2.6128662,1.0368652,0.5343584,2.654984,0.36473113,1.0278245,0.6737271,MDD
2.6682954,0.39653417,1.0818609,0.3243007,2.5874176,0.32604533,0.9841293,0.3340691,0.41974515,2.458711,0.69697195,0.5149483,3.7484932,0.49525425,0.53742105,2.6094131,1.0209168,0.557285,2.5942416,0.27135155,1.0461657,0.50644153,MDD
2.649973,0.26767078,-0.048025243,0.46606934,2.5469608,0.44236174,0.99002033,0.28545472,0.5161474,2.6241279,0.52032477,0.43934202,3.681974,0.3259666,0.56128544,2.6482043,1.0179425,0.56684214,2.6647537,0.38751525,1.0528296,0.4880632,MDD
2.6662285,0.20318952,0.2839254,0.39998674,2.6743526,0.7502013,0.9788195,0.27956495,0.5764027,2.6299956,0.5021785,0.47176883,3.293325,0.584986,0.27160597,2.5970504,1.03723,0.65363014,2.6154947,0.27998567,1.0167115,0.6036094,MDD
2.6856418,0.3570242,1.3181739,0.3922435,2.601981,0.84948856,0.9933438,0.321684,0.5311562,2.640633,0.6643543,0.45687923,3.810157,0.46967426,0.24683578,2.6266801,1.0135095,0.64908934,2.6443703,0.29080296,1.0459577,0.57582474,MDD
2.6856532,0.114614606,0.16450417,0.30056697,2.6476054,0.17205259,1.005419,0.36705244,0.53760666,2.6634903,0.53502476,0.44994494,3.3014574,0.4527673,0.5679244,2.5715916,0.9957298,0.5286009,2.6539977,0.38105714,1.0467744,0.49870425,MDD
2.673583,0.12189157,-0.13447292,0.3650654,2.5810788,1.4247051,1.0154434,0.25137994,0.5535916,2.5993629,0.6708567,0.46947238,3.694343,0.5399206,0.73136854,2.649311,1.0110192,0.6762932,2.667364,0.37036157,1.0134395,0.576635,MDD
2.6877844,0.338468,1.1935921,0.30923343,2.667879,0.2332139,0.965892,0.28988743,0.54150116,2.5934105,0.51961553,0.47899762,3.5156326,0.67902654,0.43286905,2.6643827,1.0071344,0.6872373,2.65524,0.388929,0.98966265,0.7574544,MDD
2.6860228,0.5015585,1.1916916,0.33692867,2.6805737,0.46714607,1.033956,0.28494263,0.7072989,2.6236491,0.3756591,0.50046057,3.339468,0.54774064,0.56273746,2.6665013,1.0084136,0.5668037,2.6067047,0.36629426,1.0269177,0.49504736,MDD
2.6870842,0.21254906,0.4413469,0.36025378,2.6490154,-0.08317638,0.9808628,0.3176681,0.5118049,2.6848407,0.42474598,0.51299256,3.9565337,0.49546126,0.7388134,2.5630293,1.039299,0.6461961,2.6565156,0.39399436,1.0379163,0.6862379,MDD
2.6809518,0.19581714,0.8803655,0.40660465,2.6899297,0.6357533,0.96919507,0.3735214,0.63003707,2.4579673,0.36380026,0.42264298,3.8680325,0.69009095,0.1792686,2.6584349,1.0023794,0.54292804,2.6451676,0.44287172,1.0284816,0.6491569,MDD
2.6505089,0.37684053,0.031670496,0.29066148,2.6348705,0.043651685,1.0313911,0.25790063,0.54652715,2.550836,0.55559856,0.51433825,3.3938851,0.53715163,0.73038083,2.6444361,1.0286487,0.6535719,2.6674879,0.31288317,1.0406461,0.5546608,MDD
2.6511512,0.28090695,-0.12880492,0.30050933,2.6071265,0.3093985,1.0156883,0.3661752,0.54105145,2.641634,0.5833817,0.44781348,3.7145085,0.75891346,0.5763806,2.5946498,1.0045424,0.6727395,2.6567926,0.383578,1.0264683,0.60337114,MDD
